time_s,pc_Pa
0.500472904,1045472.694119693
0.500473186,1046466.007555116
0.500473468,1047460.153796266
0.500473751,1048455.133228005
0.500474034,1049450.946234431
0.500474318,1050447.593199260
0.500474602,1051445.074505053
0.500474886,1052443.390533596
0.500475170,1053442.541666278
0.500475455,1054442.528283326
0.500475740,1055443.350764184
0.500476025,1056445.009487512
0.500476311,1057447.504831545
0.500476597,1058450.837173719
0.500476883,1059455.006889942
0.500477170,1060460.014356046
0.500477457,1061465.859946702
0.500477744,1062472.544036119
0.500478032,1063480.066996990
0.500478320,1064488.429201900
0.500478608,1065497.631022606
0.500478896,1066507.672829694
0.500479185,1067518.554992924
0.500479474,1068530.277881230
0.500479764,1069542.841863047
0.500480054,1070556.247305637
0.500480344,1071570.494575422
0.500480634,1072585.584038305
0.500480925,1073601.516059017
0.500481216,1074618.291001434
0.500481507,1075635.909228898
0.500481799,1076654.371103571
0.500482091,1077673.676986754
0.500482383,1078693.827238887
0.500482676,1079714.822219842
0.500482969,1080736.662288615
0.500483263,1081759.347802720
0.500483556,1082782.879119389
0.500483850,1083807.256594671
0.500484144,1084832.480584022
0.500484439,1085858.551441422
0.500484734,1086885.469520817
0.500485029,1087913.235174399
0.500485325,1088941.848754019
0.500485621,1089971.310610343
0.500485917,1091001.621093125
0.500486214,1092032.780551478
0.500486511,1093064.789333323
0.500486808,1094097.647785922
0.500487105,1095131.356255092
0.500487403,1096165.915086234
0.500487702,1097201.324623811
0.500488000,1098237.585210846
0.500488299,1099274.697189921
0.500488598,1100312.660902668
0.500488898,1101351.476689283
0.500489198,1102391.144889495
0.500489498,1103431.665841833
0.500489798,1104473.039884097
0.500490099,1105515.267352892
0.500490401,1106558.348583854
0.500490702,1107602.283911873
0.500491004,1108647.073670632
0.500491306,1109692.718192842
0.500491609,1110739.217810228
0.500491912,1111786.572853739
0.500492215,1112834.783653120
0.500492518,1113883.850537323
0.500492822,1114933.773834092
0.500493126,1115984.553870173
0.500493431,1117036.190971309
0.500493736,1118088.685462414
0.500494041,1119142.037667199
0.500494347,1120196.247908531
0.500494653,1121251.316507906
0.500494959,1122307.243786136
0.500495265,1123364.030062998
0.500495572,1124421.675656898
0.500495880,1125480.180885691
0.500496187,1126539.546065704
0.500496495,1127599.771512531
0.500496803,1128660.857540560
0.500497112,1129722.804463122
0.500497421,1130785.612592491
0.500497730,1131849.282240015
0.500498040,1132913.813715963
0.500498350,1133979.207329270
0.500498660,1135045.463388050
0.500498971,1136112.582199211
0.500499282,1137180.564068695
0.500499593,1138249.409301229
0.500499905,1139319.118200452
0.500500217,1140389.691069012
0.500500529,1141461.128208341
0.500500842,1142533.429918772
0.500501155,1143606.596499527
0.500501469,1144680.628248805
0.500501783,1145755.525463594
0.500502097,1146831.288439838
0.500502411,1147907.917472195
0.500502726,1148985.412854420
0.500503041,1150063.774878903
0.500503357,1151143.003837043
0.500503673,1152223.100019020
0.500503989,1153304.063713868
0.500504305,1154385.895209522
0.500504622,1155468.594792703
0.500504940,1156552.162748972
0.500505257,1157636.599362765
0.500505575,1158721.904917302
0.500505894,1159808.079694631
0.500506212,1160895.123975649
0.500506531,1161983.038040038
0.500506851,1163071.822166290
0.500507170,1164161.476631728
0.500507491,1165252.001712450
0.500507811,1166343.397683361
0.500508132,1167435.664818161
0.500508453,1168528.803389334
0.500508774,1169622.813668147
0.500509096,1170717.695924646
0.500509419,1171813.450427666
0.500509741,1172910.077444775
0.500510064,1174007.577242357
0.500510387,1175105.950085513
0.500510711,1176205.196238129
0.500511035,1177305.315962806
0.500511360,1178406.309520927
0.500511684,1179508.177172622
0.500512009,1180610.919176766
0.500512335,1181714.535790911
0.500512661,1182819.027271392
0.500512987,1183924.393873207
0.500513314,1185030.635850207
0.500513640,1186137.753454822
0.500513968,1187245.746938185
0.500514295,1188354.616550298
0.500514623,1189464.362539608
0.500514952,1190574.985153524
0.500515280,1191686.484637962
0.500515610,1192798.861237623
0.500515939,1193912.115195895
0.500516269,1195026.246754730
0.500516599,1196141.256154868
0.500516930,1197257.143635720
0.500517261,1198373.909435367
0.500517592,1199491.553790413
0.500517924,1200610.076936109
0.500518256,1201729.479106641
0.500518588,1202849.760534551
0.500518921,1203970.921451168
0.500519254,1205092.962086302
0.500519587,1206215.882668548
0.500519921,1207339.683425130
0.500520256,1208464.364581721
0.500520590,1209589.926362965
0.500520925,1210716.368991575
0.500521261,1211843.692689416
0.500521596,1212971.897676589
0.500521933,1214100.984171974
0.500522269,1215230.952393052
0.500522606,1216361.802555682
0.500522943,1217493.534874513
0.500523281,1218626.149562548
0.500523619,1219759.646831812
0.500523957,1220894.026892215
0.500524296,1222029.289952918
0.500524635,1223165.436221172
0.500524974,1224302.465903018
0.500525314,1225440.379203050
0.500525655,1226579.176324147
0.500525995,1227718.857467981
0.500526336,1228859.422834761
0.500526678,1230000.872622949
0.500527019,1231143.207029799
0.500527362,1232286.426251093
0.500527704,1233430.530481126
0.500528047,1234575.519912402
0.500528390,1235721.394735917
0.500528734,1236868.155141779
0.500529078,1238015.801317967
0.500529423,1239164.333451264
0.500529767,1240313.751726608
0.500530113,1241464.056327735
0.500530458,1242615.247436858
0.500530804,1243767.325234664
0.500531151,1244920.289899948
0.500531497,1246074.141610311
0.500531844,1247228.880541441
0.500532192,1248384.506868204
0.500532540,1249541.020763172
0.500532888,1250698.422397340
0.500533237,1251856.711940901
