time_s,Tc_K
2.109352204,1870.650518750
2.113119290,1871.192120072
2.114783528,1870.817438562
2.122323721,1871.472513421
2.123536709,1871.085994498
2.135817590,1871.035979195
2.138383150,1871.542674015
2.140635135,1871.186346798
2.144313786,1871.722366636
2.146015832,1871.352266346
2.153130695,1871.989302427
2.154379552,1871.608585223
2.170178630,1871.668508267
2.173321093,1872.192933432
2.175226010,1871.827620995
2.180358501,1872.403341013
2.181799027,1872.030197643
2.210407922,1873.303878852
2.211113692,1872.920397840
2.212593105,1872.559627485
2.234041894,1873.613479860
2.234856939,1873.235698553
2.236890106,1872.893745391
2.241560080,1873.437539185
2.243092992,1873.082038834
2.258568328,1873.948893752
2.259512134,1873.579319345
2.262531706,1873.271263310
2.265410380,1873.756736272
2.267528313,1873.422888262
2.271928959,1873.952436793
2.273522009,1873.604258753
2.285530552,1874.359722162
2.286580763,1873.998498129
2.290920971,1873.735148204
2.293345943,1874.201750290
2.295897666,1873.886010602
2.299310756,1874.380435091
2.301183912,1874.045687348
2.307193503,1874.616047502
2.308579919,1874.268547646
2.360194602,1875.596898620
2.361386470,1875.262665776
2.368906643,1875.119814633
2.371279874,1875.555716108
2.374002077,1875.267656986
2.377324344,1875.735932734
2.379284633,1875.423395592
2.384967465,1875.963539810
2.386415683,1875.635202847
2.427051230,1876.948684231
2.427911800,1876.608050432
2.430102957,1876.305674829
2.434687763,1876.807351520
2.436313198,1876.490534819
2.450294894,1877.265894096
2.451314201,1876.935180105
2.454854121,1876.677632651
2.457657032,1877.121931632
2.459976807,1876.830003362
2.464212238,1877.314362509
2.465923637,1877.006192144
2.476317102,1877.669074219
2.477470235,1877.347315817
2.483171973,1877.157940124
2.485614870,1877.587078990
2.488346458,1877.311911182
2.491822563,1877.768801810
2.493780135,1877.472724674
2.500022908,1878.008079065
2.501447772,1877.698740601
2.552504898,1878.836702629
2.554488445,1878.574347931
2.560953206,1879.085856726
2.562380986,1878.799746265
2.597661532,1879.510335528
2.604316636,1879.310548657
2.606778662,1879.784248960
2.609535903,1879.492110210
2.613099366,1879.962812025
2.615068949,1879.665867596
2.621713219,1880.203643494
2.623131837,1879.906036877
2.650047703,1880.321778227
2.669865236,1881.618953877
2.670818637,1881.077080379
2.673759597,1880.520508811
2.676755107,1881.189559391
2.678895089,1880.775376441
2.683910175,1881.351155510
2.685511430,1881.005593010
2.709845988,1881.985899835
2.710677922,1881.713969402
2.712543280,1881.471348366
2.721949280,1882.034759975
2.723209868,1881.772686507
2.730462150,1881.680246449
2.733095532,1882.052254169
2.735845696,1881.832455916
2.739742071,1882.239736374
2.741684752,1881.997824431
2.749799203,1882.522739220
2.751144612,1882.265556008
2.761906392,1882.272457444
2.764833957,1882.653682909
2.767301047,1882.427034009
2.771883288,1882.851136327
2.773652994,1882.607624740
2.787295042,1883.280824305
2.788389094,1883.023297177
2.792196593,1882.840521734
2.795253647,1883.215719790
2.797645411,1882.994987173
2.802570054,1883.419670977
2.804284153,1883.182166629
2.823463819,1884.000057489
2.824411436,1883.746496342
2.826878722,1883.534150006
2.831630075,1883.946807488
2.833390806,1883.716951200
2.849303535,1884.435018245
2.850338810,1884.189866382
2.853451849,1884.001070719
2.857066334,1884.376030460
2.859182619,1884.161459935
2.865982478,1884.621710398
2.867468869,1884.392274984
2.892351692,1884.804545286
2.908409045,1885.615029196
2.909432891,1885.324602114
2.912462410,1885.078777497
2.916125817,1885.505826125
2.918211183,1885.259585740
2.925334050,1885.748368034
2.926795996,1885.508255501
2.945165796,1885.709350019
2.950249513,1886.235978904
2.951933701,1885.940418161
2.978160679,1886.894701347
2.978992906,1886.675778705
2.980752473,1886.480795941
3.003177639,1887.321301174
3.004082584,1887.110868874
3.006180496,1886.931338341
3.014152062,1887.379037475
3.015581491,1887.184896900
3.027478700,1887.267826258
3.030835007,1887.597619446
3.033194659,1887.425282944
3.039068118,1887.815457590
3.040719485,1887.629245795
3.088964709,1888.926217399
3.089834304,1888.740768928
3.091713301,1888.581080658
3.107448048,1889.200340598
3.108536127,1889.023063306
3.111783372,1888.901120199
3.115693915,1889.209770241
3.117844797,1889.060878076
3.126034463,1889.477863262
3.127480882,1889.313543079
3.138571071,1889.397316754
3.141923241,1889.693188119
3.144373846,1889.552338700
3.150247373,1889.907938991
3.151942508,1889.751807776
3.200768016,1891.033157127
3.201616729,1890.876367551
3.203360136,1890.741479067
3.249591113,1892.003013311
3.250339824,1891.855500245
3.251701284,1891.722379883
3.258535273,1891.723957838
3.261632123,1891.973170417
3.264395961,1891.874872327
3.269520120,1892.169439537
3.271399475,1892.052911773
3.294713739,1892.789498563
3.295643716,1892.658912652
3.297712845,1892.555125190
3.309559236,1892.998841581
3.310837246,1892.881651876
3.315844544,1892.853667930
3.319148260,1893.086572649
3.321789072,1893.003297413
3.327537320,1893.290647643
3.329327437,1893.190713712
