time_s,pc_Pa
1.054426166,2690313.218759534
1.055302122,2686803.701988538
1.060922097,2683520.910692111
1.062460851,2687138.525506580
1.065086735,2683715.573892370
1.066969104,2687347.710374073
1.068938177,2683894.852261181
1.071308634,2687548.706872578
1.072896346,2684078.868092577
1.076125902,2687772.062343325
1.077432940,2684289.984584931
1.082953573,2688089.576518535
1.083998842,2684596.711061988
1.128686821,2685933.769747290
1.129633425,2682455.972836764
1.138407432,2679356.499361267
1.140058268,2682941.135275520
1.142521478,2679539.852625746
1.144557163,2683150.074659974
1.146439574,2679718.691051309
1.149058780,2683358.589632094
1.150582543,2679909.470774751
1.154341924,2683603.171770737
1.155587559,2680141.187998760
1.163518435,2684029.125144389
1.164464357,2680554.681135284
1.172650627,2677421.744832673
1.174292243,2681012.589753393
1.176817176,2677615.674472644
1.178847049,2681222.197047099
1.180762850,2677798.174704876
1.183376106,2681430.220511583
1.184921923,2677990.275668914
1.188668179,2681673.882356844
1.189929572,2678221.845700693
1.197760579,2682094.289927310
1.198719045,2678630.295156427
1.207286198,2675524.303973089
1.208961248,2679106.390381090
1.211457546,2675718.226107433
1.213536604,2679316.228169512
1.215436502,2675901.789341168
1.218133965,2679526.991940113
1.219666612,2676096.589339055
1.223608379,2679778.454909299
1.224854451,2676335.993614536
1.233924680,2680254.502131069
1.234846139,2676799.387270140
1.240868565,2673584.640242068
1.242504121,2677153.335977201
1.245158259,2673782.699323376
1.247187268,2677367.903926376
1.249167979,2673967.193990612
1.251783560,2677578.067062131
1.253370100,2674160.207739276
1.257119669,2677822.462271709
1.258408685,2674392.005925309
1.266212062,2678241.063058007
1.267188929,2674797.887358760
1.276013638,2671721.715153560
1.277737956,2675285.985668802
1.280222243,2671916.516553051
1.282376596,2675497.662223296
1.284268269,2672102.428529314
1.287099024,2675712.978660690
1.288621628,2672302.016094918
1.292892643,2675977.835006113
1.294121340,2672554.703692095
1.306066634,2676583.769451923
1.306920546,2673146.199788173
1.310674370,2669845.658579367
1.312463593,2673399.783619259
1.314862783,2670037.538427837
1.317112280,2673611.592877870
1.318955552,2670224.698469155
1.321958305,2673832.250727375
1.323443471,2670429.861703613
1.328184990,2674116.410643301
1.329373639,2670701.757027519
1.349545041,2675098.112238258
1.350250683,2671665.715571083
1.352180496,2668292.642404068
1.355055315,2671883.867055999
1.356600351,2668494.147766758
1.360982719,2672153.502697042
1.362222935,2668751.048851448
1.375374679,2672812.319123148
1.376213232,2669394.451967000
